GenotypeID,Class
D00712341,Offspring
D00712324,Offspring
D00712891,Offspring
D00713285,Offspring
D00712259,Offspring
D00713359,Offspring
D00714287,Offspring
D00712679,Offspring
D00713524,Offspring
D00711547,Offspring
D00711998,Offspring
D00712313,Offspring
D00712129,Offspring
D00713440,Offspring
D00712047,Offspring
D00713060,Offspring
D00712302,Offspring
D00712750,Offspring
D00713753,Offspring
D00713393,Offspring
D00712658,Offspring
D00713803,Offspring
D00712656,Offspring
D00711808,Offspring
D00713331,Offspring
D00713107,Offspring
D00713336,Offspring
D00712655,Offspring
D00713443,Offspring
D00712488,Offspring
D00713605,Offspring
D00713640,Offspring
D00712625,Offspring
D00713840,Offspring
D00713422,Offspring
D00713277,Offspring
D00711690,Offspring
D00712150,Offspring
D00711267,Offspring
D00712241,Offspring
D00712931,Offspring
D00712619,Offspring
D00713307,Offspring
D00713329,Offspring
D00712020,Offspring
D00712674,Offspring
D00712320,Offspring
D00712777,Offspring
D00712972,Offspring
D00712092,Offspring
D00712564,Offspring
D00713356,Offspring
D00713311,Offspring
D00713103,Offspring
D00712481,Offspring
D00713936,Offspring
D00713123,Offspring
D00713016,Offspring
D00713680,Offspring
D00712859,Offspring
D00712078,Offspring
D00713666,Offspring
D00712245,Offspring
D00712285,Offspring
D00712610,Offspring
D00713283,Offspring
D00713808,Offspring
D00711877,Offspring
D00712200,Offspring
D00712376,Offspring
D00713806,Offspring
D00712865,Offspring
D00713477,Offspring
D00712028,Offspring
D00713548,Offspring
D00713246,Offspring
D00712626,Offspring
D00712873,Offspring
D00713842,Offspring
D00711019,Offspring
D00713433,Offspring
D00713582,Offspring
D00712922,Offspring
D00712112,Offspring
D00713811,Offspring
D00712763,Offspring
D00712798,Offspring
D00713782,Offspring
D00713967,Offspring
D00712067,Offspring
D00713587,Offspring
D00713439,Offspring
D00713715,Offspring
D00713597,Offspring
D00712541,Offspring
D00712604,Offspring
D00713895,Offspring
D00712043,Offspring
D00711473,Offspring
D00711047,Offspring
D00713921,Offspring
D00713791,Offspring
D00713026,Offspring
D00712707,Offspring
D00713964,Offspring
D00712089,Offspring
D00712728,Offspring
D00712461,Offspring
D00714485,Offspring
D00713909,Offspring
D00712019,Offspring
D00712085,Offspring
D00713845,Offspring
D00713978,Offspring
D00712633,Offspring
D00713828,Offspring
D00712620,Offspring
D00713855,Offspring
D00713009,Offspring
D00712580,Offspring
D00712507,Offspring
D00713740,Offspring
D00713877,Offspring
D00713880,Offspring
D00713203,Offspring
D00712609,Offspring
D00711872,Offspring
D00713686,Offspring
D00713819,Offspring
D00713835,Offspring
D00713557,Offspring
D00712916,Offspring
D00713951,Offspring
D00711323,Offspring
D00712709,Offspring
D00713167,Offspring
D00713395,Offspring
D00713484,Offspring
D00711759,Offspring
D00711247,Offspring
D00712545,Offspring
D00712460,Offspring
D00711131,Offspring
D00712785,Offspring
D00712050,Offspring
D00711742,Offspring
